Day fraction since midnight on 	photometer (V)	photometer (mg/L)
0.6667621037	13.6864204407	27.4183006287
0.6668199676	13.6863393784	27.4663543701
0.6668778323	13.6864490509	27.5060405731
0.6669357107	13.6864166260	27.5412540436
0.6669935979	13.6865406036	27.5975399017
0.6670514444	13.6863059998	27.6521358490
0.6671093239	13.6865634918	27.6885261536
0.6671671760	13.6865262985	27.7228851318
0.6672250510	13.6863679886	27.7599048615
0.6672829220	13.6865644455	27.7877998352
0.6673407930	13.6865339279	27.8141174316
0.6673986758	13.6863632202	27.8256454468
0.6674565282	13.6863193512	27.8503437042
0.6675144199	13.6863346100	27.8746929169
0.6675722661	13.6866292953	27.9150295258
0.6676301590	13.6862592697	27.9405059814
0.6676880177	13.6865930557	27.9668197632
0.6677458765	13.6865024567	27.9961872101
0.6678037639	13.6864147186	28.0266094208
0.6678616264	13.6866407394	28.0553607941
0.6679195009	13.6865482330	28.0765800476
0.6679773541	13.6864614487	28.1104087830
0.6680352322	13.6864557266	28.1347389221
0.6680931110	13.6863136292	28.1513633728
0.6681509874	13.6865596771	28.1581745148
0.6682088461	13.6865444183	28.1698722839
0.6682667164	13.6864109039	28.1935100555
0.6683245889	13.6865158081	28.2275218964
0.6683824376	13.6866388321	28.2494640350
0.6684403069	13.6864538193	28.2721576691
0.6684981899	13.6863031387	28.3036899567
0.6685560765	13.6864862442	28.3432903290
0.6686139332	13.6864471436	28.3686828613
0.6686718010	13.6863555908	28.3914203644
0.6687296862	13.6865530014	28.4029598236
0.6687875434	13.6864748001	28.4283123016
0.6688453944	13.6863737106	28.4539813995
0.6689032626	13.6863822937	28.4836425781
0.6689611426	13.6864337921	28.4983005524
0.6690190130	13.6865434647	28.5309982300
0.6690768837	13.6864252090	28.5715217590
0.6691347677	13.6863737106	28.6127624512
0.6691926306	13.6865530014	28.6387805939
0.6692504899	13.6867189407	28.6557083130
0.6693083530	13.6862382889	28.6862640381
0.6693662525	13.6864576340	28.7176322937
0.6694240953	13.6864452362	28.7425727844
0.6694819915	13.6864480972	28.7582683563
0.6695398321	13.6863117218	28.7874412537
0.6695977080	13.6864156723	28.8158168793
0.6696555825	13.6864023209	28.8499736786
0.6697134474	13.6862201691	28.8736343384
0.6697713392	13.6863765717	28.8964977264
0.6698291939	13.6864690781	28.9224853516
0.6698870470	13.6863307953	28.9611492157
0.6699449194	13.6865825653	28.9927692413
0.6700027910	13.6864242554	29.0139350891
0.6700606702	13.6866054535	29.0396671295
0.6701185383	13.6866130829	29.0697727203
0.6701764052	13.6862840652	29.1009235382
0.6702342746	13.6865854263	29.1285018921
0.6702921505	13.6865072250	29.1424789429
0.6703500053	13.6863698959	29.1636161804
0.6704079033	13.6865634918	29.1832580566
0.6704657522	13.6866159439	29.2049732208
0.6705236259	13.6864395142	29.2310142517
0.6705814894	13.6863698959	29.2626152039
0.6706393592	13.6864213943	29.3058757782
0.6706972301	13.6863584518	29.3425292969
0.6707551090	13.6864070892	29.3724327087
0.6708129610	13.6863470078	29.3917140961
0.6708708381	13.6862611771	29.4220867157
0.6709287087	13.6865596771	29.4531650543
0.6709865847	13.6864995956	29.4924068451
0.6710444528	13.6864356995	29.5154361725
0.6711023194	13.6864442825	29.5432262421
0.6711601887	13.6863842010	29.5707168579
0.6712180591	13.6863927841	29.6085834503
0.6712759146	13.6866006851	29.6350650787
0.6713337862	13.6864309311	29.6509590149
0.6713916591	13.6865062714	29.6752357483
0.6714495291	13.6864356995	29.7064266205
0.6715074018	13.6865129471	29.7405681610
0.6715652791	13.6864166260	29.7632141113
0.6716231459	13.6862649918	29.7842807770
0.6716810156	13.6863279343	29.8086185455
0.6717388996	13.6863012314	29.8311729431
0.6717967521	13.6864881516	29.8502864838
0.6718546395	13.6863775253	29.8656406403
0.6719124900	13.6864395142	29.8843402863
0.6719703734	13.6864404678	29.9096183777
0.6720282344	13.6866102219	29.9364776611
0.6720860881	13.6863203049	29.9576988220
0.6721439564	13.6865072250	29.9736442566
0.6722018301	13.6863784790	30.0104312897
0.6722597126	13.6863307953	30.0444927216
0.6723175822	13.6863241196	30.0790996552
