Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6417471823	3.6838095188	2.1204204559
0.6417587397	3.6537222862	2.1303777695
0.6417703117	3.6267380714	2.1393327713
0.6417818982	3.6231899261	2.1405119896
0.6417934625	3.5884628296	2.1520748138
0.6418050398	3.5451767445	2.1665418148
0.6418166277	3.5581564903	2.1621973515
0.6418281949	3.6163251400	2.1427946091
0.6418397727	3.6405870914	2.1347339153
0.6418513491	3.6271662712	2.1391904354
0.6418629070	3.6022965908	2.1474640369
0.6418744976	3.5893063545	2.1517934799
0.6418860680	3.6032564640	2.1471443176
0.6418976287	3.6289193630	2.1386079788
0.6419092154	3.6455628872	2.1330831051
0.6419207900	3.6700813770	2.1249601841
0.6419323520	3.6887497902	2.1187882423
0.6419439536	3.7166407108	2.1095879078
0.6419555015	3.7120871544	2.1110882759
0.6419671013	3.6706287861	2.1247789860
0.6419786650	3.6659679413	2.1263215542
0.6419902322	3.7014958858	2.1145806313
0.6420017969	3.7146701813	2.1102371216
0.6420133812	3.7002139091	2.1150035858
0.6420249498	3.7101616859	2.1117229462
0.6420365294	3.7065167427	2.1129245758
0.6420480927	3.7036540508	2.1138687134
0.6420596792	3.6932785511	2.1172926426
0.6420712539	3.6648063660	2.1267061234
0.6420828238	3.6303296089	2.1381394863
0.6420943900	3.5871860981	2.1525006294
0.6421059794	3.5953361988	2.1497831345
0.6421175456	3.6123256683	2.1441252232
0.6421291219	3.6303534508	2.1381316185
0.6421407045	3.6133768559	2.1437754631
0.6421522708	3.5803930759	2.1547672749
0.6421638371	3.5445039272	2.1667671204
0.6421754240	3.5132994652	2.1772344112
0.6421869893	3.4782934189	2.1890144348
0.6421985545	3.4346647263	2.2037518024
0.6422101427	3.4039542675	2.2141628265
0.6422217046	3.3931493759	2.2178330421
0.6422332861	3.3847696781	2.2206821442
0.6422448521	3.3845880032	2.2207438946
0.6422564392	3.3780124187	2.2229812145
0.6422680132	3.3477938175	2.2332813740
0.6422795846	3.3104398251	2.2460551262
0.6422911424	3.2769665718	2.2575409412
0.6423027438	3.2328031063	2.2727518082
0.6423143053	3.2109076977	2.2803170681
0.6423258780	3.2097525597	2.2807166576
0.6423374600	3.2082493305	2.2812366486
0.6423490129	3.2069628239	2.2816817760
0.6423605938	3.1832146645	2.2899084091
0.6423721805	3.1553509235	2.2995848656
0.6423837351	3.1238355637	2.3105607033
0.6423953196	3.1061291695	2.3167419434
0.6424069152	3.0926945210	2.3214390278
0.6424184812	3.1048963070	2.3171727657
0.6424300506	3.1226189137	2.3109850883
0.6424416101	3.1160674095	2.3132712841
0.6424532062	3.0778656006	2.3266305923
0.6424647835	3.0361442566	2.3412771225
0.6424763307	2.9965598583	2.3552279472
0.6424879280	2.9951725006	2.3557178974
0.6424994939	3.0052230358	2.3521702290
0.6425110643	3.0058920383	2.3519341946
0.6425226436	2.9693443775	2.3648505211
0.6425342063	2.9514472485	2.3711922169
0.6425457736	2.9583840370	2.3687329292
0.6425573526	2.9247612953	2.3806684017
0.6425689315	2.8771281242	2.3976438046
0.6425805074	2.8409993649	2.4105713367
0.6425920932	2.8222463131	2.4172992706
0.6426036424	2.8329122066	2.4134712219
