Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5923492362	3.9105322361	2.0463085175
0.5923608041	3.9086587429	2.0469143391
0.5923723898	3.9071657658	2.0473971367
0.5923839475	3.9040954113	2.0483903885
0.5923955240	3.9000194073	2.0497093201
0.5924070912	3.8948736191	2.0513751507
0.5924186725	3.8935580254	2.0518012047
0.5924302663	3.8908963203	2.0526633263
0.5924418408	3.8903493881	2.0528404713
0.5924534016	3.8827335835	2.0553085804
0.5924649828	3.8825650215	2.0553631783
0.5924765326	3.8794305325	2.0563795567
0.5924881110	3.8749680519	2.0578269958
0.5924996925	3.8750078678	2.0578141212
0.5925112889	3.8699295521	2.0594620705
0.5925228577	3.8673679829	2.0602936745
0.5925344033	3.8632073402	2.0616447926
0.5925459839	3.8558335304	2.0640406609
0.5925575822	3.8557887077	2.0640552044
0.5925691349	3.8540256023	2.0646283627
0.5925807179	3.8498680592	2.0659801960
0.5925922768	3.8397336006	2.0692777634
0.5926038632	3.8320908546	2.0717666149
0.5926154432	3.8232035637	2.0746631622
0.5926270290	3.8185386658	2.0761845112
0.5926385885	3.8213405609	2.0752706528
0.5926501621	3.8196372986	2.0758261681
0.5926617327	3.8037481308	2.0810127258
0.5926733113	3.8086311817	2.0794179440
0.5926848811	3.8036963940	2.0810296535
0.5926964675	3.7845118046	2.0873024464
0.5927080314	3.7926239967	2.0846486092
0.5927195956	3.7906877995	2.0852818489
0.5927311745	3.7712268829	2.0916531086
0.5927427522	3.7717478275	2.0914824009
0.5927543375	3.7685861588	2.0925185680
0.5927659123	3.7443151474	2.1004834175
0.5927774569	3.7515838146	2.0980961323
0.5927890435	3.7395143509	2.1020610332
0.5928006155	3.7502057552	2.0985486507
0.5928121886	3.7276024818	2.1059787273
0.5928237600	3.7186181545	2.1089365482
0.5928353396	3.7200486660	2.1084654331
0.5928469050	3.7241268158	2.1071226597
0.5928585029	3.7066774368	2.1128716469
0.5928700733	3.6893956661	2.1185748577
0.5928816562	3.6710381508	2.1246435642
0.5928932090	3.6531589031	2.1305644512
0.5929047772	3.6659197807	2.1263375282
0.5929163550	3.6561748981	2.1295650005
0.5929279454	3.6475512981	2.1324236393
0.5929395044	3.6218545437	2.1409559250
0.5929510772	3.6210370064	2.1412277222
0.5929626672	3.6186678410	2.1420154572
0.5929742455	3.6236948967	2.1403441429
0.5929858038	3.5998079777	2.1482930183
0.5929973989	3.5924725533	2.1507377625
0.5930089578	3.5895087719	2.1517260075
0.5930205234	3.5861299038	2.1528530121
0.5930321009	3.5937891006	2.1502988338
0.5930436794	3.5776720047	2.1556756496
0.5930552591	3.5633676052	2.1604547501
0.5930668232	3.5331990719	2.1705555916
0.5930784026	3.5381805897	2.1688857079
0.5930899600	3.5545861721	2.1633918285
0.5931015475	3.5244204998	2.1735002995
0.5931131270	3.4970467091	2.1826987267
0.5931247051	3.5046837330	2.1801300049
0.5931362605	3.4990749359	2.1820163727
0.5931478334	3.4786548615	2.1888926029
0.5931594321	3.4922485352	2.1843135357
0.5931710035	3.4679861069	2.1924905777
0.5931825476	3.4750826359	2.1900968552
0.5931941360	3.4680721760	2.1924614906
0.5932057066	3.4413313866	2.2014958858
0.5932172790	3.4143836498	2.2106237411
0.5932288533	3.3913536072	2.2184433937
0.5932404353	3.3754098415	2.2238671780
0.5932519900	3.3735225201	2.2245097160
0.5932635769	3.3762025833	2.2235972881
0.5932751481	3.3458375931	2.2339491844
0.5932867443	3.3220357895	2.2420847416
0.5932983163	3.3154768944	2.2443299294
0.5933098755	3.3239555359	2.2414278984
0.5933214492	3.3138630390	2.2448825836
0.5933330411	3.2934315205	2.2518866062
0.5933446092	3.2979445457	2.2503383160
0.5933561580	3.2865393162	2.2542524338
0.5933677487	3.2580573559	2.2640457153
0.5933793374	3.2554845810	2.2649316788
0.5933909012	3.2507982254	2.2665460110
0.5934024668	3.2640724182	2.2619752884
0.5934140490	3.2538766861	2.2654855251
0.5934256138	3.2361004353	2.2716138363
0.5934371883	3.2350869179	2.2719635963
0.5934487636	3.2383332253	2.2708435059
0.5934603294	3.2360694408	2.2716245651
0.5934719127	3.2192509174	2.2774324417
0.5934834882	3.1627175808	2.2970240116
0.5934950598	3.1614394188	2.2974681854
0.5935066462	3.1681427956	2.2951393127
0.5935182170	3.1627657413	2.2970073223
0.5935297964	3.1592047215	2.2982449532
0.5935413605	3.1172339916	2.3128640652
0.5935529276	3.1283218861	2.3089962006
0.5935644892	3.1171321869	2.3128995895
0.5935760667	3.1111452579	2.3149898052
0.5935876384	3.0776479244	2.3267068863
0.5935992260	3.0715272427	2.3288519382
0.5936107969	3.0380034447	2.3406231403
0.5936223895	3.0271308422	2.3444490433
0.5936339373	3.0280566216	2.3441231251
0.5936455174	3.0321059227	2.3426978588
0.5936570981	3.0400726795	2.3398954868
0.5936686689	3.0027182102	2.3530540466
0.5936802440	3.0234854221	2.3457326889
0.5936918197	3.0049993992	2.3522491455
0.5937034052	2.9966239929	2.3552052975
0.5937149651	2.9836990833	2.3597719669
0.5937265415	2.9793746471	2.3613011837
0.5937381110	2.9547660351	2.3700153828
0.5937496874	2.9276793003	2.3796310425
0.5937612671	2.9119672775	2.3852202892
0.5937728473	2.9024574757	2.3886072636
0.5937844029	2.8891956806	2.3933358192
0.5937959767	2.8750398159	2.3983898163
0.5938075652	2.9231462479	2.3812427521
0.5938191258	2.8959171772	2.3909385204
0.5938307139	2.8645737171	2.4021308422
0.5938422928	2.8337349892	2.4131760597
0.5938538612	2.8274283409	2.4154388905
0.5938654154	2.7936728001	2.4275739193
0.5938770069	2.7970778942	2.4263479710
0.5938885827	2.7699804306	2.4361147881
0.5939001529	2.7621004581	2.4389598370
0.5939117117	2.7650053501	2.4379107952
0.5939233086	2.7643575668	2.4381446838
0.5939348733	2.7539288998	2.4419124126
0.5939464402	2.7216196060	2.4536092281
0.5939580137	2.6935305595	2.4638078213
0.5939695896	2.6998744011	2.4615020752
0.5939811579	2.7016973495	2.4608397484
0.5939927384	2.6880996227	2.4657828808
0.5940043359	2.6689143181	2.4727683067
0.5940158852	2.6548545361	2.4778957367
0.5940274651	2.6659486294	2.4738492966
0.5940390343	2.6307096481	2.4867172241
0.5940506225	2.6238112450	2.4892413616
0.5940621829	2.5951099396	2.4997613430
0.5940737773	2.6072854996	2.4952950478
0.5940853203	2.5736432076	2.5076487064
0.5940968963	2.5904691219	2.5014650822
0.5941085001	2.5818147659	2.5046443939
0.5941200567	2.5562398434	2.5140550137
0.5941316377	2.5350773335	2.5218596458
0.5941432034	2.5097796917	2.5312101841
0.5941547767	2.4861247540	2.5399742126
0.5941663447	2.4967315197	2.5360419750
0.5941779142	2.4933090210	2.5373103619
0.5941895015	2.4514636993	2.5528521538
0.5942010734	2.4611217976	2.5492594242
0.5942126551	2.4254505634	2.5625452995
0.5942242297	2.4219543934	2.5638499260
0.5942358115	2.4251253605	2.5626666546
0.5942473695	2.4078519344	2.5691168308
0.5942589508	2.4068446159	2.5694932938
0.5942705322	2.3928499222	2.5747275352
0.5942821008	2.3991756439	2.5723607540
0.5942936756	2.3872799873	2.5768127441
0.5943052420	2.3823091984	2.5786745548
0.5943168143	2.3607754707	2.5867505074
0.5943283836	2.3467712402	2.5920116901
0.5943399584	2.3299694061	2.5983331203
0.5943515229	2.3172435760	2.6031279564
0.5943631103	2.3049259186	2.6077744961
0.5943746821	2.2968363762	2.6108291149
0.5943862766	2.3096902370	2.6059765816
0.5943978346	2.2670407295	2.6221005917
0.5944094085	2.2529976368	2.6274242401
0.5944209982	2.2405946255	2.6321320534
0.5944325625	2.2401890755	2.6322860718
0.5944441405	2.2542388439	2.6269533634
0.5944557004	2.2288813591	2.6365833282
0.5944672902	2.2332501411	2.6349225044
0.5944788691	2.2159016132	2.6415216923
0.5944904442	2.2153024673	2.6417498589
0.5945019997	2.1694066525	2.6592624187
0.5945135588	2.1452765465	2.6685009003
0.5945251427	2.1510522366	2.6662876606
0.5945367175	2.1359159946	2.6720905304
0.5945483122	2.1246354580	2.6764206886
0.5945598772	2.1030385494	2.6847240925
0.5945714416	2.1113452911	2.6815283298
0.5945830093	2.0917809010	2.6890592575
0.5945946068	2.0914752483	2.6891770363
0.5946061628	2.0868644714	2.6909539700
0.5946177566	2.0700466633	2.6974420547
0.5946293025	2.0775160789	2.6945590973
0.5946408869	2.0769970417	2.6947593689
0.5946524913	2.0845162868	2.6918592453
0.5946640348	2.0629944801	2.7001657486
0.5946756103	2.0429911613	2.7079017162
0.5946871816	2.0351507664	2.7109379768
0.5946987616	2.0128092766	2.7196023464
0.5947103515	1.9798711538	2.7324104309
0.5947219054	1.9494082928	2.7442922592
0.5947334971	1.9655246735	2.7380018234
0.5947450612	1.9436712265	2.7465338707
0.5947566339	1.9418181181	2.7472581863
0.5947681988	1.9523701668	2.7431354523
0.5947797808	1.9241844416	2.7541570663
0.5947913361	1.9119774103	2.7589397430
0.5948029197	1.9175989628	2.7567365170
0.5948144993	1.9261744022	2.7533779144
0.5948260628	1.8901877403	2.7674908638
0.5948376598	1.8875547647	2.7685253620
0.5948492132	1.8756392002	2.7732102871
0.5948607906	1.8794531822	2.7717101574
0.5948723635	1.8586349487	2.7799053192
0.5948839442	1.8559621572	2.7809586525
0.5948955097	1.8243606091	2.7934334278
0.5949070924	1.8193485737	2.7954154015
0.5949186563	1.8174506426	2.7961661816
0.5949302457	1.7952355146	2.8049643040
0.5949418130	1.7915683985	2.8064184189
0.5949533937	1.7500940561	2.8229002953
0.5949649629	1.7292019129	2.8312277794
0.5949765568	1.7154632807	2.8367130756
0.5949881052	1.7271980047	2.8320274353
0.5949996801	1.7124853134	2.8379030228
0.5950112577	1.6988354921	2.8433616161
0.5950228314	1.7173850536	2.8359453678
0.5950343999	1.6879340410	2.8477263451
0.5950459790	1.6683142185	2.8555932045
0.5950575579	1.6696355343	2.8550629616
0.5950691119	1.6485316753	2.8635404110
0.5950807046	1.6496067047	2.8631081581
0.5950922811	1.6442689896	2.8652548790
0.5951038509	1.6035499573	2.8816673756
0.5951154220	1.6067980528	2.8803558350
0.5951269935	1.6309033632	2.8706350327
0.5951385885	1.6117532253	2.8783557415
0.5951501431	1.5911936760	2.8866605759
0.5951617187	1.6022117138	2.8822078705
0.5951733033	1.5744405985	2.8934400082
0.5951848849	1.5529471636	2.9021537304
0.5951964498	1.5722031593	2.8943462372
0.5952080007	1.5601104498	2.8992476463
0.5952195890	1.5521188974	2.9024899006
0.5952311499	1.5412623882	2.9068984985
0.5952427382	1.5076658726	2.9205706120
0.5952543247	1.5193978548	2.9157912731
0.5952658732	1.5156589746	2.9173138142
0.5952774499	1.5075523853	2.9206168652
0.5952890316	1.5067260265	2.9209537506
0.5953005950	1.5005416870	2.9234755039
