Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6148432717	8.1044731140	7.9462585449
0.6148548405	8.1047563553	7.9465479851
0.6148664108	8.1046972275	7.9464869499
0.6148779778	8.1051988602	7.9469995499
0.6148895471	8.1048011780	7.9465932846
0.6149011373	8.1051912308	7.9469919205
0.6149127042	8.1038923264	7.9456639290
0.6149242712	8.1052827835	7.9470863342
0.6149358613	8.1050291061	7.9468264580
0.6149474283	8.1038255692	7.9455962181
0.6149589952	8.1033229828	7.9450826645
0.6149705876	8.1051034927	7.9469027519
0.6149821546	8.1051139832	7.9469137192
0.6149937244	8.1035041809	7.9452676773
0.6150052914	8.1041164398	7.9458937645
0.6150168835	8.1053647995	7.9471697807
0.6150284520	8.1029481888	7.9446988106
0.6150400189	8.1033191681	7.9450778961
0.6150515878	8.1039638519	7.9457373619
0.6150631779	8.1039600372	7.9457335472
0.6150747474	8.1052570343	7.9470601082
0.6150863144	8.1044845581	7.9462695122
0.6150978843	8.1038179398	7.9455881119
0.6151094744	8.1038570404	7.9456286430
0.6151210430	8.1044530869	7.9462375641
0.6151326148	8.1046800613	7.9464697838
0.6151441818	8.1042051315	7.9459838867
0.6151557719	8.1086645126	7.9505434036
0.6151673389	8.1076412201	7.9494967461
0.6151789091	8.1061525345	7.9479756355
0.6151904760	8.1059474945	7.9477658272
0.6152020661	8.1046724319	7.9464621544
0.6152136562	8.1045084000	7.9462938309
0.6152252030	8.1050081253	7.9468045235
0.6152367721	8.1044025421	7.9461860657
0.6152483622	8.1053943634	7.9471998215
0.6152599309	8.1043481827	7.9461302757
0.6152714999	8.1044759750	7.9462609291
0.6152830696	8.1041707993	7.9459490776
0.6152946617	8.1041460037	7.9459238052
0.6153062287	8.1046857834	7.9464750290
0.6153177957	8.1042718887	7.9460520744
0.6153293858	8.1044893265	7.9462747574
0.6153409552	8.1036043167	7.9453697205
0.6153525246	8.1044626236	7.9462475777
0.6153640963	8.1044111252	7.9461946487
0.6153756633	8.1044712067	7.9462566376
0.6153872534	8.1065006256	7.9483308792
0.6153988223	8.1054620743	7.9472689629
0.6154103986	8.1043996811	7.9461836815
0.6154219656	8.1043643951	7.9461474419
0.6154335325	8.1041898727	7.9459691048
0.6154451226	8.1042842865	7.9460649490
0.6154566941	8.1054153442	7.9472212791
0.6154682610	8.1071081161	7.9489526749
0.6154798280	8.1057863235	7.9476008415
0.6154914065	8.1052675247	7.9470705986
0.6155029753	8.1049003601	7.9466948509
0.6155145708	8.1046142578	7.9464020729
0.6155261398	8.1052913666	7.9470949173
0.6155377067	8.1062259674	7.9480504990
0.6155492760	8.1052494049	7.9470515251
0.6155608480	8.1042356491	7.9460158348
0.6155724381	8.1058149338	7.9476304054
0.6155840051	8.1041631699	7.9459409714
0.6155955721	8.1050271988	7.9468245506
0.6156071622	8.1035957336	7.9453611374
0.6156187291	8.1056070328	7.9474172592
0.6156303000	8.1041164398	7.9458932877
0.6156418670	8.1048994064	7.9466943741
0.6156534383	8.1037445068	7.9455127716
0.6156650284	8.1059217453	7.9477386475
0.6156765972	8.1050424576	7.9468402863
0.6156881642	8.1076145172	7.9494700432
0.6156997543	8.1052122116	7.9470143318
0.6157113213	8.1046533585	7.9464421272
0.6157228907	8.1083927155	7.9502649307
0.6157344577	8.1052761078	7.9470787048
0.6157460505	8.1051998138	7.9470009804
0.6157576208	8.1045846939	7.9463715553
0.6157691878	8.1044788361	7.9462642670
0.6157807565	8.1042881012	7.9460687637
0.6157923489	8.1060009003	7.9478206635
0.6158039175	8.1049032211	7.9466981888
0.6158154870	8.1050081253	7.9468045235
0.6158270586	8.1044883728	7.9462738037
0.6158386256	8.1058645248	7.9476799965
0.6158502174	8.1047391891	7.9465308189
