Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6219671657	1.6280784607	2.8717730045
0.6219787263	1.6211466789	2.8745667934
0.6219903140	1.6111192703	2.8786115646
0.6220018910	1.6049934626	2.8810844421
0.6220134668	1.5917738676	2.8864259720
0.6220250214	1.5848969221	2.8892073631
0.6220365997	1.5860767365	2.8887300491
0.6220481899	1.5785346031	2.8917822838
0.6220597565	1.5601668358	2.8992247581
0.6220713481	1.5490999222	2.9037153721
0.6220829053	1.5476254225	2.9043140411
0.6220944880	1.5363513231	2.9088943005
0.6221060537	1.5305861235	2.9112384319
0.6221176221	1.5232890844	2.9142072201
0.6221291884	1.5133370161	2.9182596207
0.6221407777	1.5047581196	2.9217560291
0.6221523444	1.5019919872	2.9228839874
0.6221639084	1.4885193110	2.9283821583
0.6221754888	1.4767266512	2.9332005978
0.6221870580	1.4795787334	2.9320347309
0.6221986444	1.4747114182	2.9340245724
0.6222102168	1.4656562805	2.9377288818
0.6222217991	1.4573739767	2.9411199093
0.6222333674	1.4435149431	2.9468002319
0.6222449481	1.4366739988	2.9496068954
0.6222565343	1.4357973337	2.9499666691
0.6222680964	1.4305899143	2.9521045685
0.6222796767	1.4260042906	2.9539880753
0.6222912366	1.4296662807	2.9524838924
0.6223028292	1.4279311895	2.9531965256
0.6223143735	1.4208974838	2.9560866356
0.6223259591	1.4061567783	2.9621498585
0.6223375310	1.3950937986	2.9667060375
0.6223490930	1.3873393536	2.9699025154
0.6223606668	1.3786097765	2.9735038280
0.6223722747	1.3673584461	2.9781498909
0.6223838296	1.3579001427	2.9820594788
0.6223954192	1.3505058289	2.9851183891
0.6224069799	1.3463326693	2.9868457317
0.6224185499	1.3360996246	2.9910843372
0.6224301108	1.3297344446	2.9937229156
0.6224417167	1.3219298124	2.9969604015
0.6224532731	1.3166730404	2.9991424084
0.6224648614	1.3119342327	3.0011103153
0.6224764122	1.3068299294	3.0032310486
0.6224879951	1.2964373827	3.0075521469
0.6224995611	1.2924566269	3.0092084408
0.6225111308	1.2912907600	3.0096936226
0.6225227257	1.2848867178	3.0123598576
0.6225343112	1.2815135717	3.0137648582
0.6225458707	1.2763423920	3.0159196854
0.6225574469	1.2652071714	3.0205633640
0.6225690214	1.2603467703	3.0225918293
0.6225805923	1.2563261986	3.0242705345
0.6225921613	1.2500662804	3.0268855095
0.6226037478	1.2442668676	3.0293095112
0.6226153091	1.2416394949	3.0304081440
0.6226268792	1.2266365290	3.0366868973
0.6226384772	1.2215359211	3.0388236046
0.6226500173	1.2175422907	3.0404973030
0.6226615936	1.2182111740	3.0402169228
0.6226731838	1.2087889910	3.0441679955
0.6226847476	1.1865631342	3.0535023212
0.6226963205	1.1770777702	3.0574920177
0.6227079065	1.1737825871	3.0588788986
0.6227194823	1.1668810844	3.0617849827
0.6227310571	1.1621458530	3.0637800694
0.6227426254	1.1577446461	3.0656352043
0.6227541853	1.1519254446	3.0680892467
0.6227657675	1.1462687254	3.0704760551
0.6227773373	1.1437903643	3.0715222359
0.6227889194	1.1420160532	3.0722713470
0.6228004917	1.1367987394	3.0744748116
0.6228120689	1.1331874132	3.0760006905
0.6228236369	1.1218068600	3.0808126926
0.6228352064	1.1180412769	3.0824060440
0.6228467984	1.1161592007	3.0832026005
0.6228583714	1.1086808443	3.0863692760
0.6228699274	1.1011627913	3.0895550251
0.6228815309	1.0920379162	3.0934247971
0.6228930914	1.0831938982	3.0971786976
0.6229046534	1.0770021677	3.0998086929
0.6229162334	1.0682073832	3.1035470963
0.6229278230	1.0657447577	3.1045944691
0.6229393896	1.0603343248	3.1068964005
0.6229509580	1.0564800501	3.1085369587
0.6229625368	1.0489549637	3.1117417812
0.6229740920	1.0430806875	3.1142451763
0.6229856768	1.0409902334	3.1151363850
0.6229972680	1.0354518890	3.1174983978
0.6230088351	1.0321779251	3.1188952923
0.6230204112	1.0251321793	3.1219029427
0.6230319761	1.0156672001	3.1259465218
0.6230435384	1.0098440647	3.1284360886
0.6230551123	1.0037845373	3.1310281754
0.6230666831	0.9989961386	3.1330776215
0.6230782606	0.9968544245	3.1339945793
0.6230898541	0.9880788922	3.1377537251
0.6231014127	0.9805877209	3.1409652233
0.6231129856	0.9782619476	3.1419627666
0.6231245654	0.9737619162	3.1438934803
0.6231361470	0.9671666026	3.1467247009
0.6231477168	0.9620093703	3.1489398479
0.6231592975	0.9600577950	3.1497783661
0.6231708771	0.9530148506	3.1528058052
0.6231824459	0.9460348487	3.1558082104
0.6231940103	0.9411860108	3.1578950882
0.6232055872	0.9316661954	3.1619951725
0.6232171549	0.9273434281	3.1638581753
0.6232287362	0.9254365563	3.1646802425
0.6232403126	0.9203878641	3.1668574810
0.6232518958	0.9109947681	3.1709110737
0.6232634568	0.9077316523	3.1723201275
0.6232750157	0.9058228135	3.1731445789
0.6232866018	0.9027925134	3.1744537354
0.6232981710	0.9077973366	3.1722917557
0.6233097510	0.8947677016	3.1779224873
0.6233213227	0.8906344771	3.1797101498
0.6233329036	0.8916425705	3.1792740822
0.6233444670	0.8808029890	3.1839652061
0.6233560597	0.8759333491	3.1860742569
0.6233676070	0.8706309199	3.1883718967
0.6233791824	0.8655951023	3.1905550957
0.6233907680	0.8650112152	3.1908082962
0.6234023458	0.8584610224	3.1936497688
0.6234139168	0.8547393084	3.1952650547
0.6234255008	0.8454580903	3.1992957592
0.6234370597	0.8415880203	3.2009775639
0.6234486452	0.8395959139	3.2018435001
0.6234602290	0.8299381137	3.2060439587
0.6234717785	0.8263586164	3.2076017857
